"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
120,01/16/19 10:33:43 AM,34.124,0.3344,156.2,31.993,77.600
121,01/16/19 11:33:43 AM,34.124,0.3358,248.7,34.075,72.900
122,01/16/19 12:33:43 PM,34.174,0.3366,298.7,35.638,68.500
123,01/16/19 01:33:43 PM,34.174,0.3373,263.7,34.615,65.700
124,01/16/19 02:33:43 PM,34.174,0.3380,198.7,33.879,65.900
125,01/16/19 03:33:43 PM,34.223,0.3380,146.2,30.884,76.500
126,01/16/19 04:33:43 PM,34.223,0.3380,36.2,30.173,80.700
127,01/16/19 05:33:43 PM,34.223,0.3380,1.2,29.662,80.800
128,01/16/19 06:33:43 PM,34.272,0.3380,1.2,28.891,80.300
129,01/16/19 07:33:43 PM,34.272,0.3373,1.2,28.787,79.700
130,01/16/19 08:33:43 PM,34.320,0.3380,1.2,28.684,79.900
131,01/16/19 09:33:43 PM,34.320,0.3380,1.2,28.580,78.900
132,01/16/19 10:33:43 PM,34.320,0.3380,1.2,27.694,79.900
133,01/16/19 11:33:43 PM,34.371,0.3380,1.2,27.590,81.500
134,01/17/19 12:33:43 AM,34.371,0.3380,1.2,27.851,81.700
135,01/17/19 01:33:43 AM,34.371,0.3380,1.2,28.216,81.800
136,01/17/19 02:33:43 AM,34.371,0.3380,1.2,28.684,82.000
137,01/17/19 03:33:43 AM,34.371,0.3380,1.2,28.787,83.200
138,01/17/19 04:33:43 AM,34.371,0.3380,1.2,28.735,84.900
139,01/17/19 05:33:43 AM,34.419,0.3388,1.2,28.994,84.800
140,01/17/19 06:33:43 AM,34.419,0.3380,1.2,28.994,85.600
